size,n,tol_rate,mean_abs_dev,median_ratio,fidelity,mean_attempts,fail_rate
150,3,1.0,0.015555555555555545,1.02,0.6202881642652978,1.0,0.0
250,3,0.6666666666666666,0.3373333333333333,1.004,0.43844938913922055,1.0,0.3333333333333333
400,3,1.0,0.01166666666666664,1.0125,0.6865358810914883,1.0,0.0
