feature,p_value,cohens_d,d_ci_lo,d_ci_hi,mean_human,mean_ai,p_fdr,sig_fdr
dep_rel_root,1.3220833103514424e-36,-0.33163920176111783,-0.3895151405128459,-0.27254652840794175,0.04897931381268048,0.05266732730918596,9.122374841424953e-35,True
lexical_density,7.521059849730362e-36,-0.32889423269678814,-0.3865601266785338,-0.27173825937585333,0.5662419017103648,0.5756248728668047,2.5947656481569746e-34,True
avg_sentence_length,1.8699551212921997e-33,0.3213232864342778,0.25716029606240265,0.3829509174515479,21.48849357218295,19.940290294125667,4.3008967789720593e-32,True
dep_distance_mean,3.199121798841227e-31,-0.3296351835740318,-0.3873318827703932,-0.27093376955795306,2.9049879970777206,2.96686051858718,5.5184851030011166e-30,True
pos_ADV,2.2551096697021522e-30,-0.28704161833686,-0.34723831324163906,-0.22639634869427613,0.1361921487113674,0.14410411835574338,3.1120513441889697e-29,True
L_TTR,6.082230107406051e-30,-0.29240413508753116,-0.3565997032991266,-0.23024862256455292,0.6492088951708521,0.6604819987317295,6.994564623516959e-29,True
L_Log_TTR,1.8970331782586197e-27,-0.26867224329266437,-0.336190883576919,-0.20483736420717685,0.9274809679480572,0.9301698235317586,1.8699327042834965e-26,True
pos_AUX,3.362435542031288e-25,0.2735194053703904,0.21275232868051733,0.33500121262200777,0.019334203820875147,0.017085354887717886,2.900100655001986e-24,True
dep_rel_cop,1.2193577224949886e-24,0.2708296769202037,0.20914811019620377,0.3330116229815418,0.017091772252834283,0.015032080358521625,9.348409205794913e-24,True
n_tokens,3.656613441799592e-18,0.2464695569163783,0.18985655981391927,0.3045332389910639,399.4924357034796,389.99791981845686,2.5230632748417182e-17,True
L_MTLD,6.4870684119144654e-18,-0.23149663809113918,-0.29062468692506926,-0.16922059729229894,208.4936716244123,220.65156182842122,4.069161094746347e-17,True
n_sentences,6.367770984507517e-14,-0.197042685215223,-0.2565743256325747,-0.13908239220457383,19.58093797276853,20.50964447806354,3.661468316091823e-13,True
dep_rel_det,3.9796983488829367e-13,0.16864826975754366,0.10736955457659338,0.2309051332365484,0.15522439567567592,0.1503512569697998,2.112301431330174e-12,True
dep_rel_nmod,3.374041194303388e-12,0.17616587805635314,0.11670261912026267,0.237815285812318,0.026276332687146416,0.024349587477259692,1.6629203029066697e-11,True
pos_DET,6.763955881207863e-12,0.1601466579066726,0.0981747988415252,0.22344665024198768,0.14881320013623633,0.1442565988084222,3.111419705355617e-11,True
