model_name,dims,human_vs_ai_AUROC,silhouette_human_vs_ai,mean_cosine_distance_from_human
pranaydeeps/Ancient-Greek-BERT,50,0.7450155462886883,0.0130330841093664,0.5656765320756361
bowphs/GreBerta,50,0.7104770513433778,0.003340372636973,0.545849582318912
