feature,p_value,p_fdr,sig_fdr
L_TTR,1.3595299895973757e-146,9.380756928221892e-145,True
lexical_density,4.0956684399149306e-140,1.413005611770651e-138,True
L_Log_TTR,1.0610536399583047e-124,2.440423371904101e-123,True
n_tokens,3.7429028562140594e-107,6.456507426969253e-106,True
L_MTLD,1.1855309509425068e-77,1.6360327123006595e-76,True
dep_rel_root,7.09970020808453e-73,8.16465523929721e-72,True
dep_distance_mean,3.938542010398811e-70,3.8822771245359707e-69,True
avg_sentence_length,1.3078028009720984e-65,1.1279799158384348e-64,True
pos_ADV,2.0164932866221136e-60,1.5459781864102872e-59,True
pos_AUX,3.836320347761901e-59,2.6470610399557118e-58,True
dep_rel_cop,2.7523701056051895e-55,1.7264867026068918e-54,True
dep_rel_det,3.106390891763272e-31,1.7861747627638814e-30,True
pos_DET,3.8087095792805117e-28,2.0215458536181177e-27,True
case_Gen,2.7437681593965266e-27,1.3522857357025738e-26,True
dep_rel_nmod,5.100291039301202e-26,2.346133878078553e-25,True
pos_PRON,5.344918228150715e-22,2.304995985889996e-21,True
n_types,1.2037461643581447e-20,4.885793255335999e-20,True
dep_rel_mark,6.976522689301242e-20,2.6743336975654763e-19,True
pos_SCONJ,1.7567776791352567e-19,6.379876834754354e-19,True
gender_Masc,3.2686084985771886e-18,1.1276699320091301e-17,True
case_Nom,1.5423986729266668e-17,5.067881353901905e-17,True
n_sentences,3.44769097162504e-17,1.0813212592823991e-16,True
dep_rel_obl,2.1414916619358308e-14,6.424474985807493e-14,True
dep_rel_advmod,1.0975871432962831e-13,3.155563036976814e-13,True
case_Voc,1.499182740101359e-13,4.1377443626797506e-13,True
dep_rel_acl,2.570767616221291e-13,6.822421750741118e-13,True
gender_Neut,6.380481812280554e-13,1.630567574249475e-12,True
pos_NUM,1.4031991590664198e-12,3.4578836419851056e-12,True
case_Acc,6.731191423952391e-10,1.6015593388024656e-09,True
pos_INTJ,2.2678563665235375e-08,5.216069643004136e-08,True
pos_VERB,7.780239860733523e-08,1.7317308077116551e-07,True
dep_rel_obj,5.237719084585603e-07,1.1293831776137705e-06,True
pos_ADP,7.627154030434175e-07,1.594768569999873e-06,True
gender_Fem,1.0684545084761614e-06,2.168334149554563e-06,True
case_entropy,2.3733257589084473e-06,4.6788422104195104e-06,True
dep_rel_case,2.6314262140936606e-06,5.043566910346183e-06,True
avg_word_length,3.2233931187066217e-06,6.0111925727231585e-06,True
pos_ADJ,3.49237283556866e-06,6.341413833006251e-06,True
L_Root_TTR,1.4220660252355404e-05,2.5159629677244178e-05,True
dep_rel_conj,3.574211228771201e-05,6.165514369630322e-05,True
dep_rel_appos,3.926032424219194e-05,6.607225299295718e-05,True
pos_NOUN,0.00041074068674230553,0.0006747882710766448,True
dep_rel_nsubj,0.0005033411387449332,0.000807686943567451,True
tense_Pres,0.0014511656218266307,0.0022756915433190346,True
dep_rel_xcomp,0.0018863930078101446,0.0028924692786422217,True
mood_Opt,0.002448820129972546,0.0036732301949588195,True
dep_rel_aux,0.004198010853140915,0.0061630372099302794,True
case_Dat,0.007173598769017786,0.010312048230463068,True
tense_Fut,0.013107084071104473,0.018087776018124172,True
mood_entropy,0.012960646739596654,0.018087776018124172,True
pos_CCONJ,0.015166957910898927,0.02052000187945149,True
aspect_Perf,0.023616747085029016,0.03074633111069819,True
aspect_Imp,0.023616747085029043,0.03074633111069819,True
tense_Past,0.030095231127607994,0.03845501755194355,True
dep_rel_cc,0.04424111116125171,0.05550248491138851,False
mood_Ind,0.08527040186079805,0.10506531657848331,False
dep_distance_std,0.12848608217871316,0.1555357836900212,False
dep_rel_advcl,0.1458256178839855,0.17348220058612068,False
dep_rel_amod,0.1561867098199586,0.18265903351825669,False
dep_rel_fixed,0.17878615006915188,0.20560407257952468,False
noun_verb_ratio,0.21040274779973578,0.23799655078986506,False
pos_PROPN,0.23210928014574683,0.25831516661381504,False
dep_rel_ccomp,0.2626099996518111,0.2876204758091264,False
mood_Sub,0.3356284053386078,0.36184937450568655,False
hapax_legomena,0.3570514941056039,0.3790238937428718,False
dep_rel_parataxis,0.46853066130190635,0.48982750954290205,False
dep_rel_flat,0.5082972477425038,0.5234702999139219,False
mood_Imp,0.5594221925038568,0.5676489894524429,False
text_entropy,0.573363676524431,0.573363676524431,False
pos_PART,,,False
pos_PUNCT,,,False
pos_X,,,False
aspect_Aor,,,False
dep_rel_iobj,,,False
dep_rel_punct,,,False
