system,feature_distance_from_human,n_x,embed_cosine_from_human,n_y
Claude48,4.9708337260545346,6,1.6697615431322699,6
GPT4o,5.99608391377331,6,1.636443171936605,6
GPT5,4.785935342885237,6,1.6825313165606959,6
