feature,group,mean,std,median,min,max,n
hapax_legomena,Human,202.08320726172465,26.702411785450497,205.0,2.0,299.0,1322
hapax_legomena,AI,202.8086232980333,24.21502237025882,205.0,3.0,320.0,5288
L_TTR,Human,0.6492088951708521,0.04144517292556301,0.6525,0.335,0.7746478873239436,1322
L_TTR,AI,0.6604819987317295,0.03778815933718391,0.6625310173697271,0.3383838383838384,0.8201438848920863,5288
L_Root_TTR,Human,12.953219284856706,0.8807036499470872,13.05,6.7,15.72055278342698,1322
L_Root_TTR,AI,13.009012604404498,0.7911283068307493,13.07627383820625,6.733753362236721,16.09707790112905,5288
L_Log_TTR,Human,0.9274809679480572,0.011397165998068677,0.928741272450428,0.8174695454578043,0.9530936839359642,1322
L_Log_TTR,AI,0.9301698235317586,0.009627400432856663,0.9310367576604714,0.8188431074937524,0.9603940564268044,5288
