author,JS_divergence
Aeschines,1.664147498341026e-05
Andocides,1.8908064343131696e-05
Antiphon,5.986254382591278e-05
Demosthenes,4.435441577537163e-05
Dinarchus,4.508350801006088e-05
Hyperides,2.8534886141589203e-05
Isaeus,2.3938215511135152e-05
Isocrates,4.170559356713653e-05
Lycurgus,2.7828669686717724e-05
Lysias,4.548901545030798e-05
