,L_Log_TTR,L_MTLD,L_TTR,avg_sentence_length,case_Acc,case_Gen,dep_distance_mean,dep_rel_acl,dep_rel_cop,dep_rel_det,dep_rel_mark,dep_rel_nmod,dep_rel_obl,dep_rel_root,gender_Masc,gender_Neut,lexical_density,mood_Opt,n_sentences,n_tokens,pos_ADV,pos_AUX,pos_DET,pos_NOUN,pos_NUM,pos_SCONJ
Free,-0.5685228764982635,-0.45129814267328633,-0.6186763132021093,0.5161479766801969,-0.1763255087786967,0.29591514398640406,-0.5401483150857148,0.23175963057929683,0.4616235986913655,0.29502213049342363,-0.25905633718805565,0.2980757234884478,0.23133807722938265,-0.5186431654728256,0.2481293816984444,-0.18365636746978184,-0.6290304214787403,-0.09693315851393822,-0.24698045068918043,0.5276512194897756,-0.4551780593410447,0.47718007769933507,0.2791029149521211,-0.020855809043559322,0.20284005820836237,-0.2610650356730152
Restricted,-0.015044921420330098,-0.013628042366166526,-0.009302114237924798,0.14335547255668246,-0.05887605760076957,0.04654476842547128,-0.12869176605692983,0.06028290063930655,0.09253069054674816,0.04775784629196614,-0.04108479046230897,0.060256816028480306,0.04857480563997118,-0.15595120166936882,0.06162483079371108,-0.06622009091374997,-0.04773286886901572,-0.05669581966477536,-0.1499143404064285,-0.024209014124543078,-0.1272461786857579,0.08487308113666966,0.04618839895886565,0.050597658741826076,0.14281412283352185,-0.05272753045841467
