y,y_prob
0,0.054438447243477725
0,0.0032928020934210314
0,0.25979337990624174
0,0.1375912835911074
0,0.303921746883433
0,0.04740814526508112
0,0.0021270166630677646
0,0.5034790643446729
0,0.7134808074327568
0,0.12030634970103225
0,0.1424466787114693
0,0.5150934539608396
0,0.611228809366404
0,0.20173372052576086
0,0.2656227637434467
0,0.8188480393715769
0,0.0026992643126715603
0,0.009853586179688489
0,0.21960204026742067
0,0.020382033251249473
0,0.49907415541083067
0,0.3617238677164862
0,0.026759667603980613
0,0.07791619525242717
0,0.008397986607052566
0,0.03335526258172813
0,0.5103121146198923
0,0.3794462166350236
0,0.5702853929158384
0,0.09018177050021169
0,0.3704300438487508
0,0.8133215029851038
0,0.027211065930820327
0,0.0391665521862167
0,0.018884544757959594
0,0.9642537478165759
0,0.3622710170926903
0,0.21061156293545766
0,0.35061453391714
0,0.14636393955618543
0,0.6591495087513509
0,0.03083223173985472
0,0.8019473662394389
0,0.7661173884830221
0,0.015754682045714345
0,0.25486291040080383
0,0.4637493070328808
0,0.030574705772009304
0,0.05854984753078851
0,0.00153745995464375
0,0.20306595101704833
0,0.00975515988955628
0,0.6804799172803208
0,0.04371062131632248
0,0.11399220482350927
0,0.22652920020965595
0,0.010805918427127064
0,0.6496809728346992
0,0.4520741242170287
0,0.5649009591140861
0,0.10262622446805571
0,0.31616214885338395
0,0.7284434759574218
0,0.07441347789627645
0,0.21258836507963286
0,0.20355088782038402
0,0.05562784884913154
0,0.6669097294665185
0,0.9953829458821895
0,0.0290649089022793
0,0.30025465763586684
0,0.45367041788712514
0,0.03414636695455486
0,0.16015953633412527
0,0.2681669481155176
0,0.016594593401197493
0,0.10034029982630902
0,0.38375917292007405
0,0.10276867357153288
0,0.6738873916534368
0,0.012997277671521873
0,0.026424098271912118
0,0.05224798488308138
0,0.06501371118590164
0,0.024999433144032905
0,0.021967305724547685
0,0.03976933789105835
0,0.02681265487523603
0,0.49343209458465653
0,0.23750027676504967
0,0.5404918126080139
0,0.07269706639473224
0,0.5124062167123414
0,0.22090836702504593
0,0.4766773800040175
0,0.14609531259262212
0,0.19621514663057762
0,0.7888520875042077
0,0.015295216264763694
0,0.18607650241389104
0,0.9551482997190187
0,0.41530315911217053
0,0.12296983714773096
0,0.025246435695004475
0,0.13421652942870715
0,0.9945509817961158
0,0.6726890415338034
0,0.020773452103542204
0,0.7448620887120728
0,0.1572245140469119
0,0.5902427266852073
0,0.06228828240765458
0,0.846804191725652
0,0.01419172422384309
0,0.007776549253464631
0,0.012678862643210045
0,0.08862787151837723
0,0.007698993974480894
0,0.02550304549935509
0,0.03214316075504835
0,0.0010117529814956453
0,0.35378603699443556
0,0.001237794412229469
0,0.0517048045269304
0,0.40426681945680065
