Category1,chunk_index,n_tokens,n_types,hapax_legomena,L_TTR,L_Root_TTR,L_Log_TTR,L_MTLD,text_entropy,avg_word_length,n_sentences,avg_sentence_length,dep_distance_mean,dep_distance_std,case_entropy,mood_entropy,pos_ADJ,pos_ADP,pos_ADV,pos_AUX,pos_CCONJ,pos_DET,pos_INTJ,pos_NOUN,pos_NUM,pos_PART,pos_PRON,pos_PROPN,pos_PUNCT,pos_SCONJ,pos_VERB,pos_X,case_Nom,case_Gen,case_Dat,case_Acc,case_Voc,tense_Pres,tense_Past,tense_Fut,aspect_Imp,aspect_Perf,aspect_Aor,mood_Ind,mood_Sub,mood_Imp,mood_Opt,gender_Masc,gender_Fem,gender_Neut,dep_rel_nsubj,dep_rel_obj,dep_rel_iobj,dep_rel_obl,dep_rel_advmod,dep_rel_amod,dep_rel_nmod,dep_rel_det,dep_rel_case,dep_rel_cc,dep_rel_conj,dep_rel_mark,dep_rel_advcl,dep_rel_acl,dep_rel_ccomp,dep_rel_xcomp,dep_rel_cop,dep_rel_aux,dep_rel_root,dep_rel_punct,dep_rel_appos,dep_rel_parataxis,dep_rel_fixed,dep_rel_flat,noun_verb_ratio,lexical_density
Claude48,0.0,0.18238817031468899,0.24764475971580366,0.2286946768731741,0.16191795187988525,0.22345874991595763,0.17501458926406047,0.11396235988210542,0.21892773740680563,0.2833068271067321,0.37296883081295723,-0.35842965282442424,-0.18991071617661515,0.2181555878343725,-0.15853097004143224,-0.00713682990482456,0.34968541622573374,-0.2353423079130302,-0.12295301863772179,-0.020546951365029414,-0.42616772000336006,0.35087880580579417,0.09194965387202314,-0.2299104013184027,-0.11664030180103464,0.0,-0.16772964657198086,0.5802490423324327,0.0,0.3315079369191691,-0.09770132270219256,0.0,0.3879005884392617,0.029961269114904415,-0.1654244815456266,-0.1202227742145296,-0.2900474946662815,-0.26253812691059103,0.2640036502871676,0.20473570555645348,-0.3406715234479354,0.3406715234479359,0.0,-0.05511472703646677,0.06086087277868235,-0.006408824979980854,0.0,0.07899642574628567,0.03485177938199532,-0.2831466600469859,0.4261234486004802,-0.2044662103472715,0.0,-0.27226652893144143,-0.054429439601543284,0.18797336698470177,-0.41866301973167147,0.30867912103622164,-0.2353423079130302,-0.5223551185096911,0.004782264183549596,0.027710806672556137,-0.0303327973546135,-0.6109386188729775,-0.14074488726372872,0.25222283117988537,-0.13581051086218102,0.0,0.3707632956031792,0.0,0.0024724713067203843,0.48507125007266594,0.0,0.0,-0.013375459973276419,-0.07276882851225035
GPT4o,0.0,-0.41688724643357483,-0.8104737590699056,-0.8690397721180617,-0.6898175934475598,-0.8041022640206803,-0.7118130933653902,-0.6164428301291105,-0.6956602916770476,-0.28735735131286844,-0.3463282000406034,0.34101350952259674,0.22177012822129813,0.2571691205809535,-0.013502280223841515,-0.09916605639274141,-0.38215723047254996,0.3726380901485617,-0.19556262400590282,0.4223424545307372,0.3658270470473283,0.16978816440742706,0.1953231431266846,0.314770984099332,0.058823316826854044,0.0,0.08988759632447964,-0.7303540980430557,0.0,-0.25990335327934916,-0.21248864370353812,0.0,-0.2977127874353623,0.03872103302251976,-0.043654515739105615,0.16495794118915985,0.4954616307297775,-0.054915233282200375,0.0977050719968562,-0.054690335541517,0.1814066151085358,-0.1814066151085354,0.0,0.14193329841716487,-0.048150157674095674,-0.33259295401694855,0.0,-0.08182264746082414,0.038569549807123495,0.2099221530184817,0.01214072913945663,0.025219214316521393,0.0,-0.32091294147630417,0.03967077967792073,-0.34707914074215546,0.342014073008232,0.4364558623240935,0.3726380901485617,0.3710947738152816,-0.09032676944683456,-0.04742792706227537,-0.22955146163671983,0.022842659766778167,0.045152909318727785,0.0656095973160085,0.407076351191284,0.0,-0.2918611380856535,0.0,-0.30054694023953127,-0.242535625036333,0.0,0.0,0.2441981732595516,-0.5780716409013765
GPT5,0.0,0.2344990761188858,0.5628289993541,0.6403450952448875,0.5278996415676728,0.5806435141047219,0.5367985041013213,0.5024804702470048,0.47673255427024364,0.0040505242061584235,-0.026640630772354273,0.017416143301828127,-0.03185941204467866,-0.4753247084153265,0.17203325026526448,0.10630288629756646,0.032471814246820274,-0.13729578223553104,0.31851564264362514,-0.4017955031657074,0.06034067295603058,-0.5206669702132203,-0.2872727969987095,-0.0848605827809293,0.057816984974180606,0.0,0.07784205024750027,0.1501050557106232,0.0,-0.07160458363981981,0.3101899664057301,0.0,-0.09018780100390189,-0.06868230213742454,0.209078997284732,-0.044735166974632146,-0.20541413606349546,0.3174533601927936,-0.3617087222840227,-0.15004537001493698,0.15926490833939969,-0.15926490833939924,0.0,-0.08681857138070026,-0.012710715104586878,0.33900177899692996,0.0,0.002826221714537965,-0.0734213291891201,0.07322450702850673,-0.43826417773993603,0.17924699603075087,0.0,0.5931794704077452,0.014758659923620318,0.15910577375745463,0.0766489467234404,-0.7451349833603146,-0.13729578223553104,0.15126034469441138,0.0855445052632856,0.0197171203897184,0.2598842589913321,0.5880959591061997,0.09559197794500139,-0.31783242849589416,-0.2712658403291034,0.0,-0.07890215751752233,0.0,0.29807446893281103,-0.242535625036333,0.0,0.0,-0.2308227132862755,0.6508404694136168
