,L_Root_TTR,avg_sentence_length,case_Acc,case_Dat,case_Voc,case_entropy,chunk_index,dep_rel_cc,dep_rel_ccomp,dep_rel_cop,dep_rel_mark,dep_rel_nsubj,dep_rel_obj,dep_rel_root,gender_Masc,gender_Neut,hapax_legomena,n_sentences,n_tokens,n_types,pos_ADV,pos_AUX,pos_CCONJ,pos_INTJ,pos_PROPN,tense_Past,tense_Pres,text_entropy
Free,0.9103983346716189,0.43819628637398633,0.535070929266771,-1.0322350512655647,-1.2873201883630607,-1.1468022983940092,1.7383795386374319,-0.9131626588819626,-0.4223443631455344,0.802262973584072,0.12536899635191306,0.7666668540700134,0.783157508386022,-0.42051860662069773,-0.736652742161989,0.8512254330904221,0.9853282540065156,-0.14337572467286386,4.942404330717182,1.671399714575447,-0.7552882766887283,0.6894669298298761,-0.9108303260660403,-1.240329129091221,-1.7043350985087529,0.4272479247154997,-0.44403754714669313,1.1842172970235736
Restricted,0.5482814736445011,0.8367105671127467,0.565147564025684,-1.0361752187374136,-1.2783163563150683,-1.238081680983764,1.7383795386374319,-0.4725105520342202,-0.615172085116218,0.2599355601522989,0.7408507295204471,0.8051723064391291,0.5605374187728273,-1.047569583495068,-0.9291127016228846,0.9566424868151234,0.44009626685821834,-1.0110550229571693,0.565487767530982,0.633691993971436,-0.40073332648646215,0.4037558102610428,-0.5441816020583305,-1.2496181272308928,-1.1207707497909676,0.592222587917513,-0.7571104602501706,0.6306550846381606
