author,JS_divergence
Aeschines,5.5122006633614887e-05
Andocides,7.231016670666788e-05
Antiphon,5.076608166234566e-06
Demosthenes,7.951766555280414e-05
Dinarchus,0.00018421184165243168
Hyperides,0.00037541052926345523
Isaeus,7.048944772389395e-05
Isocrates,1.4431422568320367e-05
Lycurgus,0.00019188843855313335
Lysias,0.00035337851771292174
