author,embedding_variance,n_ai_samples
Demosthenes,0.21294376738055815,2676
Isocrates,0.1998182370292249,1116
Andocides,0.1933858702258599,160
Antiphon,0.18858332747411766,196
Hyperides,0.1818301056495069,112
Lysias,0.1745638231100807,56
Aeschines,0.15996134189929134,436
Isaeus,0.15781510539598595,332
Lycurgus,0.13216802778158163,100
Dinarchus,0.11226170231081188,104
