author,canberra_distance
Aeschines,12.77981982674042
Andocides,12.623386002332557
Antiphon,14.08798427457983
Demosthenes,12.400152293964293
Dinarchus,11.859293228142095
Hyperides,12.360548493036745
Isaeus,12.709821848668788
Isocrates,14.499519617922582
Lycurgus,12.1400944243348
Lysias,12.199108237671936
