author,canberra_distance,cosine_distance_distance,euclidean_distance,manhattan_distance
Aeschines,12.77981982674042,0.006391141927851441,59.640047477759886,110.16883985614724
Andocides,12.623386002332557,0.004396208898488236,57.57554399689521,103.89073165855902
Antiphon,14.08798427457983,0.010524761889639805,84.98665235185243,155.62371096271198
Demosthenes,12.400152293964293,0.004818322106806852,59.40040316755967,110.92014866754617
Dinarchus,11.859293228142095,0.006325165398994658,65.58719084110322,119.2228551692617
Hyperides,12.360548493036745,0.0035891893991664625,62.588206451956815,119.92512441872236
Isaeus,12.709821848668788,0.004439210902839811,55.53099216567819,101.56174445670587
Isocrates,14.499519617922582,0.0042282362479932716,54.102059154964664,99.56818471456243
Lycurgus,12.1400944243348,0.004245391627552597,51.84310040460646,96.33640797400714
Lysias,12.199108237671936,0.005844137493480993,50.8248247033147,98.83018706751425
