author,euclidean_distance
Aeschines,59.640047477759886
Andocides,57.57554399689521
Antiphon,84.98665235185243
Demosthenes,59.40040316755967
Dinarchus,65.58719084110322
Hyperides,62.588206451956815
Isaeus,55.53099216567819
Isocrates,54.102059154964664
Lycurgus,51.84310040460646
Lysias,50.8248247033147
