author,cosine_distance_distance
Aeschines,0.006391141927851441
Andocides,0.004396208898488236
Antiphon,0.010524761889639805
Demosthenes,0.004818322106806852
Dinarchus,0.006325165398994658
Hyperides,0.0035891893991664625
Isaeus,0.004439210902839811
Isocrates,0.0042282362479932716
Lycurgus,0.004245391627552597
Lysias,0.005844137493480993
