author,manhattan_distance
Aeschines,110.16883985614724
Andocides,103.89073165855902
Antiphon,155.62371096271198
Demosthenes,110.92014866754617
Dinarchus,119.2228551692617
Hyperides,119.92512441872236
Isaeus,101.56174445670587
Isocrates,99.56818471456243
Lycurgus,96.33640797400714
Lysias,98.83018706751425
