scheme,n_clusters,calinski_harabasz,davies_bouldin,silhouette
Human vs AI,2,20.3011258837728,14.062767523383533,0.008719860025683968
By System (Human/Claude/GPT),3,28.109108647984606,21.27921652419957,0.0010136339267565995
By System×Prompt (5 groups),5,30.633728520635465,62.64945630135437,-0.0066356959503067366
