system,prompt,mean_distance,std_distance,n_samples
Claude48,Free,1.0022517549422163,0.2662226003690991,1322
Claude48,Restricted,0.9047671963534943,0.26749616738218474,1322
GPT5,Free,1.1609805716484147,0.27136898282333727,1322
GPT5,Restricted,0.9927191324175585,0.26221595705915784,1322
