author,embedding_variance,n_ai_samples
Demosthenes,0.3279209123638025,2676
Andocides,0.3043148348400737,160
Hyperides,0.2899622640331279,112
Isocrates,0.2885326672593228,1116
Antiphon,0.2730310559713287,196
Lysias,0.2640111104212435,56
Aeschines,0.2606369392335862,436
Lycurgus,0.2279135141824891,100
Isaeus,0.20665660542172476,332
Dinarchus,0.17124791368721307,104
