feature,cohens_d_HminusL,abs_d
dep_rel_root,-0.565674700084083,0.565674700084083
avg_sentence_length,0.5624202330942448,0.5624202330942448
lexical_density,-0.537051816406815,0.537051816406815
pos_ADV,-0.4770989462071172,0.4770989462071172
dep_distance_mean,-0.4567625637186744,0.4567625637186744
L_TTR,-0.3977195177710122,0.3977195177710122
pos_NUM,0.38927271542786046,0.38927271542786046
n_sentences,-0.37644955569995747,0.37644955569995747
L_Log_TTR,-0.36695088942231646,0.36695088942231646
dep_rel_cop,0.36647750759456693,0.36647750759456693
pos_AUX,0.35625229718247997,0.35625229718247997
dep_rel_det,0.32614659037554417,0.32614659037554417
L_MTLD,-0.31804392355501626,0.31804392355501626
pos_DET,0.3144925598873211,0.3144925598873211
n_tokens,0.31160767843673853,0.31160767843673853
dep_rel_nmod,0.26829340667088153,0.26829340667088153
gender_Masc,0.2593459112177337,0.2593459112177337
dep_rel_acl,0.25581039650944976,0.25581039650944976
case_Gen,0.24793796707807897,0.24793796707807897
pos_SCONJ,-0.22953016065244589,0.22953016065244589
dep_rel_mark,-0.22767744685044777,0.22767744685044777
gender_Neut,-0.19129609993232377,0.19129609993232377
dep_rel_obl,0.17324449183956658,0.17324449183956658
avg_word_length,-0.16705361134559257,0.16705361134559257
dep_rel_advmod,-0.1640384376284691,0.1640384376284691
case_Acc,-0.14501682849460237,0.14501682849460237
case_Nom,-0.13530219704679092,0.13530219704679092
pos_PRON,0.12104099801637902,0.12104099801637902
case_Voc,0.11473643881138972,0.11473643881138972
L_Root_TTR,-0.11030693141559104,0.11030693141559104
gender_Fem,-0.10819276838110849,0.10819276838110849
dep_rel_appos,0.10082857082631708,0.10082857082631708
pos_ADJ,-0.10066204927569164,0.10066204927569164
case_entropy,0.09599686616550875,0.09599686616550875
mood_Opt,-0.09455149927508635,0.09455149927508635
dep_rel_amod,-0.09054867484185546,0.09054867484185546
n_types,0.0903088271762941,0.0903088271762941
aspect_Imp,-0.08898015871479081,0.08898015871479081
aspect_Perf,0.08898015871478969,0.08898015871478969
dep_rel_advcl,0.0889057033107922,0.0889057033107922
dep_rel_cc,-0.08351164775017288,0.08351164775017288
mood_entropy,-0.08189016254761652,0.08189016254761652
pos_CCONJ,-0.07437349965518004,0.07437349965518004
dep_rel_conj,0.07264111829943473,0.07264111829943473
dep_distance_std,0.06851861172497459,0.06851861172497459
mood_Ind,0.06562591625675819,0.06562591625675819
hapax_legomena,-0.062497264346691325,0.062497264346691325
mood_Sub,-0.060176850368569366,0.060176850368569366
dep_rel_parataxis,0.058876180565262226,0.058876180565262226
dep_rel_fixed,0.057239330379349314,0.057239330379349314
case_Dat,0.05518465093085211,0.05518465093085211
tense_Fut,-0.04778979718991354,0.04778979718991354
pos_INTJ,0.045023604040054704,0.045023604040054704
pos_PROPN,0.04235839903640029,0.04235839903640029
mood_Imp,0.04116231124715244,0.04116231124715244
dep_rel_flat,-0.023817025186682717,0.023817025186682717
dep_rel_xcomp,-0.0183336366704322,0.0183336366704322
dep_rel_obj,0.013301340117483655,0.013301340117483655
dep_rel_nsubj,-0.012415249102434951,0.012415249102434951
tense_Pres,0.011189896437622313,0.011189896437622313
pos_NOUN,-0.009677747600188642,0.009677747600188642
pos_ADP,0.00961546578201436,0.00961546578201436
pos_VERB,-0.009339733112526968,0.009339733112526968
dep_rel_case,0.006748661515284008,0.006748661515284008
dep_rel_aux,-0.0065268631923151976,0.0065268631923151976
noun_verb_ratio,0.00566684082477538,0.00566684082477538
tense_Past,0.00396991825879453,0.00396991825879453
dep_rel_ccomp,-0.0037625920450327336,0.0037625920450327336
text_entropy,0.0025314297768773302,0.0025314297768773302
chunk_index,0.0,0.0
