feature,cohens_d_HminusL,abs_d
dep_distance_mean,-0.20760922416250258,0.20760922416250258
pos_AUX,0.19006047741023618,0.19006047741023618
n_tokens,0.1867925667731206,0.1867925667731206
L_TTR,-0.18346205662096432,0.18346205662096432
dep_rel_cop,0.1750639228774503,0.1750639228774503
L_Log_TTR,-0.16387319000961692,0.16387319000961692
L_MTLD,-0.14371047319780333,0.14371047319780333
lexical_density,-0.12104402531011155,0.12104402531011155
dep_rel_root,-0.10870350675357979,0.10870350675357979
avg_sentence_length,0.10592265596334426,0.10592265596334426
dep_rel_obl,0.10430610628376795,0.10430610628376795
pos_ADV,-0.1028439613683911,0.1028439613683911
case_Gen,0.0916313837010561,0.0916313837010561
case_Acc,-0.08925178061880808,0.08925178061880808
dep_rel_conj,0.08737901879547771,0.08737901879547771
dep_rel_nmod,0.08469609813085191,0.08469609813085191
pos_SCONJ,-0.08464824100530324,0.08464824100530324
dep_rel_obj,-0.08303186875665768,0.08303186875665768
dep_rel_mark,-0.07404118724353381,0.07404118724353381
n_types,0.07276687573881355,0.07276687573881355
pos_VERB,-0.06036716131878335,0.06036716131878335
mood_Opt,-0.05855099026189019,0.05855099026189019
gender_Neut,-0.05842161046413268,0.05842161046413268
dep_rel_aux,0.057158929863606246,0.057158929863606246
dep_rel_advcl,-0.053266551292298486,0.053266551292298486
dep_rel_cc,0.052456082339597136,0.052456082339597136
case_entropy,0.05127980166636028,0.05127980166636028
pos_CCONJ,0.050831850079324586,0.050831850079324586
gender_Masc,0.0506641199518327,0.0506641199518327
dep_rel_amod,0.04946372156785793,0.04946372156785793
noun_verb_ratio,0.04876594068820392,0.04876594068820392
pos_PRON,0.04555811830914023,0.04555811830914023
pos_NOUN,0.04006365253525226,0.04006365253525226
dep_rel_acl,0.03999648584391909,0.03999648584391909
case_Dat,0.03833963821188283,0.03833963821188283
mood_entropy,-0.03449478159570713,0.03449478159570713
tense_Fut,-0.03286828155653345,0.03286828155653345
pos_ADP,0.03159020377063744,0.03159020377063744
dep_rel_advmod,-0.03137918387031729,0.03137918387031729
dep_rel_xcomp,-0.03074655317008612,0.03074655317008612
pos_NUM,-0.030214520202941842,0.030214520202941842
dep_rel_case,0.029474322265517324,0.029474322265517324
pos_INTJ,-0.028562004880800743,0.028562004880800743
dep_rel_appos,0.02746263627119393,0.02746263627119393
L_Root_TTR,-0.027093186718387216,0.027093186718387216
tense_Pres,0.02501029661829257,0.02501029661829257
case_Voc,0.023888951627220708,0.023888951627220708
dep_rel_flat,-0.02381702518668272,0.02381702518668272
mood_Ind,0.022268869482494784,0.022268869482494784
n_sentences,-0.019072298802820176,0.019072298802820176
pos_PROPN,0.018901043404444,0.018901043404444
dep_rel_det,0.017986623339477575,0.017986623339477575
case_Nom,-0.01700535874453555,0.01700535874453555
tense_Past,-0.013520905845710867,0.013520905845710867
avg_word_length,0.012838572199488859,0.012838572199488859
pos_DET,0.011922776168699743,0.011922776168699743
dep_rel_ccomp,-0.01066548667511593,0.01066548667511593
mood_Imp,-0.008261615658472731,0.008261615658472731
dep_rel_parataxis,-0.007736025336837792,0.007736025336837792
gender_Fem,-0.007270919878152033,0.007270919878152033
pos_ADJ,-0.006572709401700343,0.006572709401700343
mood_Sub,0.005817735748747562,0.005817735748747562
dep_distance_std,-0.005205611168474746,0.005205611168474746
dep_rel_fixed,0.004890340055355619,0.004890340055355619
aspect_Perf,0.004023209670414118,0.004023209670414118
aspect_Imp,-0.004023209670414118,0.004023209670414118
hapax_legomena,0.0036902066808623037,0.0036902066808623037
text_entropy,-0.0021736779826093695,0.0021736779826093695
dep_rel_nsubj,-0.0010893327306980994,0.0010893327306980994
chunk_index,0.0,0.0
